Sample,X,Y,Z
231,-0.5763,0.8450,-0.1904
232,0.3817,1.7200,-0.0308
233,0.1611,1.4680,0.0133
234,0.0438,0.9223,-0.0888
235,-0.0274,0.9333,-0.5529
236,0.4837,1.5811,-0.6509
237,0.6478,1.2792,-0.3801
238,-0.0801,0.9223,-0.0594
239,-0.3375,0.4999,0.0867
240,0.0107,0.7264,-0.0366
241,0.1826,0.8469,-0.0787
242,-0.1100,0.8657,-0.0381
243,-0.1546,0.5566,0.0291
244,0.0632,0.8242,0.2072
245,0.2083,1.0403,0.2271
246,-0.2312,1.1065,0.3757
247,-0.0861,1.0380,-0.0059
248,0.2660,1.5512,0.2758
249,0.4260,1.3230,-0.0649
250,0.0248,0.8293,0.2855
251,-0.8114,0.3615,0.0077
252,-0.6868,0.5482,-0.0039
253,0.2509,1.0776,-0.2803
254,0.7866,1.6508,0.1219
255,0.3109,1.1184,-0.0354
256,-0.4987,0.4961,0.0304
257,-0.0917,0.8451,-0.6201
258,0.4763,1.5841,-0.3433
259,0.6460,1.4814,0.2297
260,-0.1218,1.0002,0.5506
261,-0.6682,0.6240,0.0898
262,-0.1767,1.1119,-0.3064
263,0.4902,1.6659,-0.3588
264,0.3887,1.2628,0.0986
265,-0.1588,0.3576,0.1075
266,-0.3626,0.0798,-0.0214
267,0.2524,0.4734,-0.4697
268,0.5324,1.1435,-0.1965
269,0.4641,1.3969,-0.0473
270,-0.1644,0.5948,-0.0309
271,-0.7482,0.0358,-0.1385
272,-0.3414,0.6182,-0.1350
273,0.2734,1.7036,0.0600
274,0.5419,1.9932,0.3366
275,0.1510,0.9812,0.0586
276,-0.3554,1.2497,0.1668
277,-0.3181,0.6061,0.2454
278,-0.0928,0.5323,0.3517
279,0.2521,1.1016,0.3668
280,0.1402,0.7215,-0.1888
281,0.4158,1.5416,-0.0120
282,-0.0641,0.9942,-0.3682
283,-0.1895,1.0522,0.0054
284,-0.2382,0.7722,-0.1877
285,-0.0364,0.7294,0.0524
286,-0.1180,0.6544,-0.1177
287,-0.2092,1.0219,-0.0725
288,0.5663,1.4722,-0.1478
289,0.7135,1.7566,-0.2541
290,0.6183,1.2612,0.0739
291,-0.1196,0.1884,-0.1086
292,-0.7981,0.1577,0.0403
293,-0.2045,0.9179,-0.3958
294,0.1489,1.7094,-0.0253
295,0.2582,1.4539,0.3245
296,-0.1516,0.3081,0.2109
297,-0.3734,0.3056,0.0439
298,0.1658,0.8608,-0.5994
299,0.7115,1.8828,-0.3417
300,0.2869,1.4442,0.0483
301,-0.2335,0.7536,0.3270
302,-0.4974,0.6473,0.1651
303,-0.2336,0.9886,-0.1545
304,0.4956,1.8134,-0.0709
305,0.5040,1.6165,0.1723
306,-0.0447,0.6443,0.0483
307,-0.4509,0.1230,0.1294
308,-0.4341,0.2609,-0.2280
309,0.0703,1.0708,0.0543
310,0.4893,1.5775,0.0323
311,0.3856,0.7704,0.0792
312,-0.4144,0.0604,-0.0117
313,-0.0923,0.4174,-0.2974
314,0.4279,1.7836,-0.4722
315,0.4041,1.9317,-0.0710
316,-0.2437,0.8261,-0.1871
317,-0.5443,0.5178,0.2808
318,-0.3078,0.4936,0.0823
319,0.4374,1.2371,0.0846
320,1.1131,1.7667,-0.3243
321,0.7789,1.1489,0.3344
322,0.6183,1.2612,0.0739
323,-0.8235,-0.1260,-0.3987
324,-1.0091,0.0057,0.1460
325,-0.4771,0.6653,-0.3906
326,0.4883,1.8760,0.0490
327,0.4480,1.5762,0.2690
328,-0.0405,0.6978,0.3220
329,-0.3067,0.0298,0.0620
330,-0.0653,0.9741,-0.2040
331,0.6613,1.9909,-0.0502
332,0.2457,1.5101,0.4088
333,-0.0187,0.6972,0.2311
334,-0.8229,0.3450,0.0781
335,0.2087,0.5368,-0.1609
336,0.4684,1.2261,-0.2775
337,0.4342,1.1264,-0.0518
338,-0.2434,-0.0520,-0.3069
339,-0.8345,-0.0487,-0.2589
340,0.0554,1.1114,-0.4010
341,0.5411,1.7574,-0.1777
342,0.4080,1.9995,0.1513
343,0.1369,1.3931,0.1719
344,-0.3376,0.5398,0.2209
345,-0.2917,0.9594,-0.3104
346,0.7189,1.6572,0.0133
347,0.6528,1.8043,0.1652
348,-0.2729,0.4521,0.1307
349,-0.8064,-0.1989,0.1216
350,-0.6939,-0.1472,-0.2139
351,0.1896,0.8351,-0.2068
352,1.0134,1.5182,-0.1475
353,0.4930,1.4164,-0.1061
354,-0.5271,0.3787,0.0446
355,-0.5521,0.4420,-0.0516
356,0.0967,1.5270,-0.0114
357,0.3731,1.9995,0.2328
358,0.2781,1.5598,0.1071
359,-0.2652,0.8432,0.2929
360,-0.2786,-0.2936,-0.2348
361,0.3024,0.7342,0.1601
362,0.5596,1.1953,-0.3066
363,0.1856,1.0450,0.1414
364,-0.6739,-0.1199,-0.2943
365,-0.6119,-0.1112,0.0278
366,-0.0038,1.1885,-0.2880
367,0.7805,1.9995,-0.0112
368,0.5161,1.9009,0.1017
369,-0.0996,1.1159,0.3330
370,-0.7164,-0.0203,-0.3697
371,0.2506,1.3401,-0.2141
372,0.8385,1.5865,-0.3116
373,0.5122,1.4809,0.2144
374,-0.4154,0.1931,-0.0422
375,-1.0047,-0.3250,0.2348
376,-0.3322,-0.3018,-0.3346
377,0.4016,0.9603,-0.2197
378,0.6954,1.9011,0.1926
379,0.1489,1.2079,-0.0474
380,-0.6160,0.8323,0.2522
381,-0.2674,0.8037,-0.0101
382,0.3094,1.5182,0.2205
383,0.5059,1.9247,0.2793
384,0.3466,1.3291,0.0549
385,-0.4172,0.3763,-0.1533
386,-0.2382,0.2458,-0.1525
387,0.2585,0.7576,-0.0347
388,0.2957,1.2812,-0.0265
389,0.1125,1.4250,-0.0303
390,-0.4688,0.5139,-0.3032
391,-0.5777,0.6241,-0.2546
392,0.1471,1.2009,-0.2241
393,0.8920,1.8489,-0.1478
394,0.4323,1.2403,0.2140
395,-0.2554,0.5163,0.1711
396,-0.3594,0.5266,-0.1355
397,0.1592,1.2259,-0.2798
398,0.7111,1.3285,-0.1587
399,-0.0900,0.8286,0.0358
400,-0.6510,0.2106,0.1578
401,-0.4315,0.0522,0.1122
402,-0.0747,0.8981,-0.0405
403,0.7817,1.8724,0.0297
404,0.2003,1.7453,0.1936
405,-0.2054,0.7588,0.1547
406,-0.3101,0.6026,-0.1664
407,-0.1937,0.8337,-0.0292
408,0.4595,1.6873,0.0187
409,0.5146,1.4929,0.0183
410,-0.0712,0.7047,0.2775
411,-0.7461,0.0353,-0.3428
412,-0.2845,0.7418,0.2312
413,0.5361,1.5063,-0.3254
414,0.6191,1.8331,0.2678
415,-0.0156,0.6400,-0.2286
416,-0.7924,0.2173,0.1459
417,-0.1459,0.6194,-0.2697
418,0.5270,1.5378,-0.1296
419,0.5630,1.5888,-0.0810
420,0.2523,0.6781,0.0418
421,-0.5864,-0.1666,-0.0618
422,-0.3092,0.3447,-0.3911
423,0.4829,1.7838,-0.3613
424,0.6339,1.9927,0.2292
425,-0.2053,0.9014,0.2246
426,-0.5194,0.2163,0.1953
427,-0.3014,0.5649,-0.1898
428,0.6144,1.5931,-0.1476
429,0.5948,1.7763,0.0087
430,-0.2699,0.6613,0.0524
431,-0.8777,-0.1164,0.0864
432,-0.2435,0.2615,-0.1108
433,0.4140,1.2584,-0.1254
434,1.0818,1.8958,0.0682
435,0.1156,0.9470,-0.0149
436,-0.5477,0.1635,-0.1058
437,-0.3400,0.2314,-0.1771
438,0.0278,1.8017,0.3713
439,0.2732,1.9991,0.1510
440,-0.1373,1.2498,0.1162
441,-0.1606,0.5087,0.2164
442,-0.2020,0.0199,-0.3122
443,0.3386,0.6724,-0.0051
444,0.6848,1.0735,-0.1880
445,0.5361,1.5063,-0.3254
446,0.3217,0.8809,-0.1403
447,-0.1387,0.5723,-0.1529
448,-0.5784,0.8959,-0.3211
449,-0.2276,1.6046,-0.1838
450,0.3292,1.7477,-0.3493
451,0.3309,1.4905,0.1117
452,0.1708,0.6631,0.2946
453,-0.3526,0.5928,0.0966
454,0.0889,1.3788,0.0274
455,0.3149,1.4019,-0.1570
456,0.1539,0.9805,0.2130
457,-0.3197,0.5590,0.3762
458,-0.3069,0.0220,-0.0068
459,-0.3538,-0.0292,-0.1902
460,0.4632,1.3170,0.0927
