Sample,X,Y,Z
430,-0.3726,0.5374,0.0146
431,0.0673,0.6897,0.0302
432,0.3321,1.1782,-0.1825
433,0.3474,1.4341,-0.1934
434,0.1259,0.8289,-0.1818
435,-0.5627,0.2035,-0.0801
436,-0.2951,0.1600,-0.3235
437,0.2089,1.1768,-0.0893
438,0.5861,1.9995,-0.0031
439,0.3742,1.4678,0.1459
440,-0.1746,0.6151,0.2524
441,-0.3039,0.8264,-0.0726
442,-0.1976,0.7586,-0.1953
443,0.1559,1.6600,0.1098
444,0.4291,1.2999,0.1491
445,-0.1215,0.6334,0.0407
446,-0.3921,0.2560,0.0388
447,0.0843,0.8506,-0.0527
448,0.2178,1.3030,-0.1868
449,0.0899,1.0744,-0.1155
450,0.0417,0.5934,0.0710
451,-0.0333,0.6819,0.1154
452,0.1833,1.4598,0.1254
453,0.2234,1.8929,0.0634
454,-0.2670,0.8680,-0.0308
455,-0.5303,0.3522,-0.2219
456,-0.3002,0.2599,-0.0234
457,0.5798,1.2464,0.0627
458,0.9103,1.5366,-0.0713
459,0.2067,0.7742,-0.1425
460,-0.6807,0.3206,0.0356
461,-0.4717,0.9141,-0.5152
462,0.4382,1.8821,-0.1470
463,0.5501,1.6599,-0.0101
464,0.1023,0.9133,0.2319
465,-0.5087,0.4619,0.1432
466,-0.1528,0.8867,-0.0494
467,0.3981,1.7886,-0.0742
468,0.0946,0.9382,-0.0564
469,-0.4149,0.3932,0.1862
470,0.0993,0.2537,0.1455
471,0.1937,0.4637,0.0468
472,0.0541,0.9962,0.0551
473,0.2715,1.6072,0.0676
474,-0.3043,1.0068,-0.0602
475,-0.5004,0.8200,-0.0068
476,0.2164,1.2413,0.1522
477,0.3694,1.5212,0.0941
478,0.1430,1.0918,-0.0434
479,-0.2197,0.6597,-0.3268
480,-0.0649,0.5058,-0.2574
481,0.2866,0.6819,-0.0920
482,0.4646,0.8720,-0.0884
483,0.3456,1.3044,-0.1078
484,-0.3546,1.1102,-0.1030
485,-0.5405,0.9359,-0.1738
486,-0.0281,1.5076,-0.0458
487,0.3669,1.5657,0.0722
488,0.3898,1.0075,0.2063
489,-0.0948,0.5834,0.0355
490,-0.1415,0.3478,-0.0688
491,0.3583,1.0865,-0.0434
492,0.3170,1.3251,-0.0317
493,-0.2466,0.6681,-0.0320
494,-0.7314,0.3974,-0.0854
495,-0.3586,0.7119,-0.0121
496,0.3032,1.2234,-0.0392
497,0.6485,1.6543,0.1840
498,0.4047,1.4356,0.2665
499,-0.3461,0.9240,0.0377
500,-0.2156,0.7174,-0.1552
501,0.0383,1.0413,-0.0682
502,0.1769,0.9844,0.1531
503,0.0690,0.8488,0.2706
504,-0.1956,0.6426,0.1271
505,-0.3542,0.8604,-0.0981
506,0.0413,1.3755,-0.2326
507,0.4304,1.3369,-0.3263
508,0.1791,0.4433,-0.0731
509,0.3049,0.4717,0.1188
510,0.0393,1.3130,-0.1443
511,0.2231,1.6610,-0.3726
512,-0.0911,1.2418,-0.1254
513,-0.4803,0.6604,0.0993
514,-0.1646,0.0393,-0.2285
515,0.1903,1.0220,-0.0085
516,0.4769,1.5641,-0.1671
517,0.3947,0.9177,-0.0574
518,-0.3099,0.7357,0.1147
519,-0.1343,0.8509,0.0190
520,-0.1317,0.9611,-0.0569
521,-0.2701,1.0662,0.1411
522,0.2905,1.2286,0.1537
523,0.3091,1.4179,0.1162
524,0.4030,1.5505,0.1177
525,-0.2845,0.8101,-0.0715
526,-0.6598,0.7176,-0.0797
527,-0.2286,0.5950,-0.1203
528,0.5511,0.7425,0.0924
529,0.5170,0.9000,0.2388
530,0.0592,0.6788,0.0238
531,-0.4499,0.8186,-0.2457
532,-0.0578,1.5400,-0.2479
533,0.4042,1.4961,-0.0265
534,0.1577,0.7952,0.1609
535,-0.4042,0.2891,0.0974
536,-0.1646,1.1326,-0.0618
537,0.5364,1.8992,-0.1740
538,0.1431,1.0925,-0.1260
539,-0.3268,0.1213,0.1063
540,-0.0103,0.1870,0.0106
541,0.4416,1.3480,-0.2471
542,0.3011,1.7657,-0.2620
543,0.1146,1.0735,-0.0493
544,-0.3594,0.5979,0.0111
545,-0.1353,1.1266,-0.0004
546,0.0095,1.1583,-0.0114
547,-0.3123,1.1936,0.0346
548,0.2839,0.8037,0.0751
549,0.4186,1.0092,0.1772
550,0.3194,0.9718,0.1927
551,-0.2923,0.5597,-0.0425
552,-0.8036,0.5303,-0.0595
553,-0.0262,1.0003,-0.0178
554,0.6667,1.2346,0.0878
555,0.4094,1.0524,0.2341
556,-0.3837,0.7047,-0.0480
557,-0.4141,1.2076,-0.2559
558,0.2853,1.5439,-0.3914
559,0.5671,1.2376,-0.0602
560,0.1097,0.5755,0.2078
561,-0.2558,0.3654,0.0383
562,0.0524,1.3735,-0.3401
563,0.3064,1.6270,-0.3863
564,-0.1420,0.6765,-0.0872
565,-0.3456,0.1450,0.1120
566,0.0939,0.7985,-0.1248
567,0.1951,1.7917,-0.2069
568,0.2995,1.5773,-0.1002
569,0.1840,0.8437,0.1470
570,0.0428,0.7807,0.1276
571,-0.0222,0.7505,-0.0007
572,-0.3682,0.9424,0.0303
573,-0.3211,0.8863,-0.0341
574,0.2950,1.0391,0.0862
575,0.5913,1.1582,0.2234
576,0.0131,0.9479,0.2000
577,-0.5934,0.7775,-0.0645
578,-0.5916,0.7308,-0.1794
579,0.4717,1.3289,0.1677
580,0.6790,1.3291,0.1204
581,-0.0085,0.3269,0.1166
582,-0.4479,0.9011,-0.0762
583,-0.0165,1.2229,-0.3992
584,0.4800,1.3566,-0.1335
585,-0.0060,0.7736,0.0718
586,-0.1729,0.1575,0.0192
587,-0.4004,0.7379,-0.0349
588,0.3310,1.7840,-0.2092
589,0.3983,1.5714,-0.2302
590,-0.1851,0.7250,0.0016
591,0.1477,0.3728,0.0717
592,0.4066,1.1167,-0.1392
593,0.0240,1.4571,-0.2484
594,-0.0532,1.1631,-0.0483
595,-0.1425,0.7754,0.0995
596,-0.1164,0.7609,0.0347
597,-0.1359,0.9463,-0.0518
598,-0.0891,1.1924,-0.0450
599,0.1113,1.0757,-0.0054
600,0.2599,0.8882,0.0092
601,0.3331,1.0755,0.1686
602,-0.1624,0.9001,0.1227
603,-0.2368,1.0925,0.1649
604,0.1201,1.3622,0.0372
605,0.0511,0.8262,-0.1476
606,-0.0890,0.6086,-0.0395
607,0.0853,0.3630,-0.0032
608,0.1154,0.9966,0.0912
609,-0.1498,1.2888,-0.2752
610,0.0717,0.8922,-0.2446
611,0.1230,0.8992,0.1387
612,-0.0117,0.9838,0.1007
613,0.1017,1.0839,-0.1526
614,0.2512,1.4317,-0.2319
615,0.0947,1.1869,-0.0693
616,0.1170,0.8274,0.0729
617,0.1124,0.8339,-0.0303
618,-0.1508,0.9258,-0.1191
619,-0.4796,0.8157,-0.1299
620,-0.0549,1.0728,0.0356
621,0.1887,1.1046,0.0461
622,0.0588,0.9174,-0.0029
623,0.2195,1.1797,0.0383
624,0.2556,1.2229,0.0485
625,-0.0771,0.9667,-0.0352
626,0.0892,0.4987,0.0737
627,-0.0338,0.9684,0.1750
628,-0.4194,0.7414,-0.1382
629,0.2081,1.1497,-0.0349
630,0.4016,1.2510,0.2185
631,-0.2041,0.6404,-0.1041
632,-0.2012,0.3840,-0.1086
633,-0.1807,1.2255,0.0851
634,0.1909,1.2894,-0.0679
635,0.3003,1.2771,-0.1384
636,0.0051,1.1661,0.0529
637,0.1031,0.9487,-0.0718
638,0.2167,1.1028,-0.2457
639,0.3389,1.2858,-0.1818
640,0.1477,1.0043,-0.0223
641,-0.4586,0.5915,-0.0533
642,-0.4170,0.4131,-0.1291
643,0.2111,1.2482,-0.0295
644,0.5299,1.5657,0.1266
645,0.1671,0.7444,0.0564
646,-0.5430,0.3287,-0.0657
647,-0.3388,0.6876,-0.1526
648,0.5842,1.7205,-0.0918
649,0.5912,1.6956,0.0888
650,-0.0203,0.6303,0.1013
651,-0.6672,0.3087,0.0707
652,-0.3381,0.5446,-0.2504
653,0.4148,1.1940,-0.0453
654,0.5033,1.7112,0.2259
655,0.1970,1.0125,0.0104
656,-0.5742,0.2026,-0.0816
657,-0.3533,0.8445,0.1015
658,0.1691,1.4882,0.0127
659,0.3528,1.4490,-0.0903
660,0.1823,0.9853,0.0627
661,-0.4279,0.5781,0.1050
662,-0.1314,0.5664,-0.0999
663,0.4744,1.5323,-0.2200
664,0.3727,1.4752,-0.0291
665,0.0139,0.4689,0.0719
666,-0.5241,0.2668,-0.1008
667,-0.1494,0.7664,-0.0814
